iter	MultiClassOneVsAll
763	0.2652524752
764	0.2649240913
765	0.2646501068
766	0.2642979444
767	0.2639905438
768	0.2637106753
769	0.263449448
770	0.2631247788
771	0.2628494672
772	0.2624401478
773	0.2621095111
774	0.2617411207
775	0.2614074237
776	0.2611784163
777	0.2608232195
778	0.260500523
779	0.2601524936
780	0.2598592327
781	0.2595481687
782	0.2592905683
783	0.2589934994
784	0.2587327311
785	0.2584223486
786	0.258037168
787	0.2577608754
788	0.257382439
789	0.2571111623
790	0.2567943715
791	0.2565142593
792	0.2562790899
793	0.2559141631
794	0.255674928
795	0.2553044931
796	0.2549445497
797	0.2546766267
798	0.2543605159
799	0.2540585836
800	0.2537565611
801	0.2534676699
802	0.2531852546
803	0.2528099715
804	0.2524608054
805	0.2520122975
806	0.2516814552
807	0.2512807898
808	0.2509558537
809	0.2506515028
810	0.2503520108
811	0.2500404865
812	0.249805857
813	0.2495275309
814	0.2492422656
815	0.2489953596
816	0.2487497618
817	0.2484628347
818	0.2481717408
819	0.2479008423
820	0.2476012732
821	0.2472396873
822	0.246940724
823	0.2466550723
824	0.2463512409
825	0.2460940846
826	0.2457739573
827	0.245485917
828	0.245181558
829	0.2448552523
830	0.244563968
831	0.2442215175
832	0.2439716008
833	0.2437027333
834	0.2433156464
835	0.2430915095
836	0.242805737
837	0.2425787498
838	0.2422878932
839	0.2419182045
840	0.2416127832
841	0.2413258472
842	0.2410057123
843	0.2406990103
844	0.2404038767
845	0.2400794359
846	0.2397829102
847	0.239470756
848	0.239188713
849	0.2388725236
850	0.2386304584
851	0.2383190261
852	0.2380671483
853	0.2377395652
854	0.2373966401
855	0.2370975135
856	0.2368395246
857	0.2365873256
858	0.2363539227
859	0.2360779372
860	0.2357917676
861	0.2354566031
862	0.2351379874
863	0.2348527248
864	0.234573624
865	0.2342892864
866	0.2340935767
867	0.2338210509
868	0.2335318281
869	0.2333195262
870	0.2329524806
871	0.2326850177
872	0.232402852
873	0.2321440544
874	0.2318733545
875	0.2315671292
876	0.2312426375
877	0.2310257669
878	0.2307346321
879	0.2305108725
880	0.2302459176
881	0.2298716021
882	0.2295508544
883	0.2292876241
884	0.229108208
885	0.2288305942
886	0.2285761958
887	0.2283796078
888	0.2280846134
889	0.2278528221
890	0.2275534586
891	0.2272289552
892	0.2269451297
893	0.2266748193
894	0.2264303586
895	0.2261971675
896	0.2259093322
897	0.2256574622
898	0.2254084101
899	0.2251229927
900	0.2247952099
901	0.2245854795
902	0.2243518645
